"","code_module","code_presentation","id_student","gender","region","highest_education","imd_band","age_band","num_of_prev_attempts","studied_credits","disability","final_result","id"
"21","AAA","2013J",77367,"M","East Midlands Region","A Level or Equivalent","30-40%","0-35",0,60,"N","Pass","AAA 2013J"
"22","AAA","2013J",91265,"M","North Western Region","HE Qualification","0-10%","0-35",0,60,"N","Pass","AAA 2013J"
"23","AAA","2013J",94961,"M","South Region","Lower Than A Level","70-80%","35-55",0,60,"N","Withdrawn","AAA 2013J"
"24","AAA","2013J",98094,"M","Wales","Lower Than A Level","70-80%","35-55",0,60,"N","Pass","AAA 2013J"
"25","AAA","2013J",100893,"M","Yorkshire Region","A Level or Equivalent","20-30%","0-35",0,60,"N","Pass","AAA 2013J"
"26","AAA","2013J",101781,"M","South Region","Lower Than A Level","80-90%","35-55",0,60,"N","Pass","AAA 2013J"
"27","AAA","2013J",102806,"M","North Western Region","A Level or Equivalent","30-40%","0-35",0,60,"N","Pass","AAA 2013J"
"28","AAA","2013J",102952,"M","London Region","HE Qualification","60-70%","0-35",0,60,"N","Pass","AAA 2013J"
"29","AAA","2013J",104476,"M","Ireland","Post Graduate Qualification","?","35-55",0,60,"N","Pass","AAA 2013J"
"30","AAA","2013J",106247,"M","South Region","HE Qualification","80-90%","35-55",0,60,"N","Withdrawn","AAA 2013J"
"31","AAA","2013J",106577,"M","East Midlands Region","Lower Than A Level","20-30%","0-35",0,60,"N","Pass","AAA 2013J"
"32","AAA","2013J",110175,"M","East Anglian Region","HE Qualification","80-90%","35-55",0,60,"N","Pass","AAA 2013J"
"33","AAA","2013J",111717,"F","East Anglian Region","HE Qualification","90-100%","35-55",0,60,"N","Pass","AAA 2013J"
"34","AAA","2013J",113295,"M","Yorkshire Region","Lower Than A Level","60-70%","35-55",0,60,"N","Pass","AAA 2013J"
"35","AAA","2013J",114017,"F","North Region","Post Graduate Qualification","?","35-55",0,60,"N","Pass","AAA 2013J"
"36","AAA","2013J",114999,"M","Yorkshire Region","HE Qualification","60-70%","35-55",0,60,"N","Pass","AAA 2013J"
"37","AAA","2013J",116541,"M","Wales","HE Qualification","0-10%","0-35",0,60,"N","Pass","AAA 2013J"
"38","AAA","2013J",116692,"M","East Anglian Region","A Level or Equivalent","70-80%","35-55",0,60,"N","Pass","AAA 2013J"
"39","AAA","2013J",118983,"M","East Midlands Region","HE Qualification","30-40%","0-35",0,120,"N","Pass","AAA 2013J"
"40","AAA","2013J",123044,"M","South Region","A Level or Equivalent","40-50%","35-55",0,60,"N","Pass","AAA 2013J"
"41","AAA","2013J",127582,"F","East Midlands Region","A Level or Equivalent","40-50%","0-35",0,180,"N","Pass","AAA 2013J"
"42","AAA","2013J",129955,"M","West Midlands Region","A Level or Equivalent","50-60%","0-35",0,60,"N","Withdrawn","AAA 2013J"
"43","AAA","2013J",132976,"F","East Anglian Region","Lower Than A Level","80-90%","35-55",0,120,"N","Pass","AAA 2013J"
"44","AAA","2013J",134143,"F","South East Region","A Level or Equivalent","90-100%","35-55",0,60,"N","Distinction","AAA 2013J"
"45","AAA","2013J",135335,"F","East Anglian Region","Lower Than A Level","20-30%","0-35",0,180,"N","Withdrawn","AAA 2013J"
"46","AAA","2013J",135400,"F","South East Region","Lower Than A Level","90-100%","35-55",0,60,"Y","Withdrawn","AAA 2013J"
"47","AAA","2013J",137873,"M","South West Region","A Level or Equivalent","40-50%","35-55",0,60,"N","Pass","AAA 2013J"
"48","AAA","2013J",141355,"F","East Midlands Region","A Level or Equivalent","30-40%","0-35",0,240,"N","Pass","AAA 2013J"
"49","AAA","2013J",141377,"M","South West Region","A Level or Equivalent","90-100%","0-35",0,345,"N","Withdrawn","AAA 2013J"
"50","AAA","2013J",142326,"F","North Region","A Level or Equivalent","50-60%","35-55",0,60,"N","Pass","AAA 2013J"
"51","AAA","2013J",144801,"F","South Region","HE Qualification","80-90%","35-55",0,60,"N","Pass","AAA 2013J"
"52","AAA","2013J",145130,"M","South West Region","HE Qualification","60-70%","0-35",0,120,"N","Pass","AAA 2013J"
"53","AAA","2013J",146188,"F","West Midlands Region","A Level or Equivalent","20-30%","0-35",0,60,"Y","Fail","AAA 2013J"
"54","AAA","2013J",147756,"M","North Region","Lower Than A Level","60-70%","0-35",0,120,"N","Fail","AAA 2013J"
"55","AAA","2013J",147793,"F","North Region","Lower Than A Level","80-90%","0-35",0,90,"N","Withdrawn","AAA 2013J"
"56","AAA","2013J",148993,"F","North Western Region","A Level or Equivalent","30-40%","35-55",0,60,"Y","Withdrawn","AAA 2013J"
"57","AAA","2013J",151358,"F","London Region","A Level or Equivalent","80-90%","0-35",0,150,"N","Pass","AAA 2013J"
"58","AAA","2013J",155550,"M","London Region","A Level or Equivalent","0-10%","35-55",0,420,"N","Pass","AAA 2013J"
"59","AAA","2013J",155854,"F","East Midlands Region","A Level or Equivalent","20-30%","35-55",0,60,"N","Pass","AAA 2013J"
"60","AAA","2013J",155984,"F","East Anglian Region","Lower Than A Level","70-80%","0-35",0,60,"N","Withdrawn","AAA 2013J"
"61","AAA","2013J",157568,"F","South West Region","A Level or Equivalent","90-100%","0-35",0,60,"N","Pass","AAA 2013J"
"62","AAA","2013J",159954,"M","East Midlands Region","A Level or Equivalent","40-50%","35-55",0,60,"N","Withdrawn","AAA 2013J"
"63","AAA","2013J",164259,"M","Scotland","A Level or Equivalent","70-80%","0-35",0,60,"N","Pass","AAA 2013J"
"64","AAA","2013J",167906,"F","Yorkshire Region","A Level or Equivalent","40-50%","35-55",0,60,"N","Pass","AAA 2013J"
"65","AAA","2013J",168936,"F","West Midlands Region","Lower Than A Level","10-20","35-55",0,60,"N","Pass","AAA 2013J"
"66","AAA","2013J",172112,"M","Ireland","HE Qualification","?","35-55",0,60,"N","Pass","AAA 2013J"
"67","AAA","2013J",172797,"F","Ireland","A Level or Equivalent","?","35-55",0,60,"N","Pass","AAA 2013J"
"68","AAA","2013J",174782,"M","East Anglian Region","HE Qualification","90-100%","55<=",0,60,"N","Pass","AAA 2013J"
"69","AAA","2013J",175392,"M","North Region","HE Qualification","?","35-55",0,60,"N","Pass","AAA 2013J"
"70","AAA","2013J",175932,"M","North Western Region","HE Qualification","70-80%","35-55",0,60,"N","Pass","AAA 2013J"
"71","AAA","2013J",175991,"F","North Western Region","A Level or Equivalent","80-90%","0-35",0,180,"N","Fail","AAA 2013J"
"72","AAA","2013J",180753,"M","South West Region","A Level or Equivalent","30-40%","0-35",0,120,"N","Pass","AAA 2013J"
"73","AAA","2013J",181316,"F","South West Region","A Level or Equivalent","80-90%","35-55",0,120,"N","Withdrawn","AAA 2013J"
"74","AAA","2013J",183096,"F","South West Region","A Level or Equivalent","60-70%","0-35",0,60,"N","Pass","AAA 2013J"
"75","AAA","2013J",183947,"M","London Region","A Level or Equivalent","10-20","0-35",0,180,"N","Pass","AAA 2013J"
"76","AAA","2013J",184271,"M","South West Region","HE Qualification","80-90%","35-55",0,170,"N","Pass","AAA 2013J"
"77","AAA","2013J",185439,"M","London Region","HE Qualification","10-20","0-35",0,120,"N","Fail","AAA 2013J"
"78","AAA","2013J",186149,"M","Scotland","HE Qualification","30-40%","35-55",0,60,"N","Pass","AAA 2013J"
"79","AAA","2013J",187100,"M","South East Region","A Level or Equivalent","50-60%","35-55",0,60,"N","Distinction","AAA 2013J"
"80","AAA","2013J",188278,"M","Yorkshire Region","A Level or Equivalent","70-80%","35-55",0,120,"N","Withdrawn","AAA 2013J"
"81","AAA","2013J",189879,"M","Scotland","A Level or Equivalent","90-100%","0-35",0,120,"N","Pass","AAA 2013J"
"82","AAA","2013J",192183,"F","South West Region","Lower Than A Level","90-100%","0-35",0,60,"N","Pass","AAA 2013J"
"83","AAA","2013J",195262,"M","London Region","A Level or Equivalent","90-100%","0-35",0,60,"N","Withdrawn","AAA 2013J"
"84","AAA","2013J",200860,"M","London Region","Lower Than A Level","50-60%","35-55",0,60,"N","Pass","AAA 2013J"
"85","AAA","2013J",202635,"F","Wales","A Level or Equivalent","30-40%","0-35",0,60,"N","Withdrawn","AAA 2013J"
"86","AAA","2013J",205350,"M","South West Region","HE Qualification","80-90%","35-55",0,60,"N","Pass","AAA 2013J"
"87","AAA","2013J",205719,"M","East Anglian Region","A Level or Equivalent","40-50%","0-35",0,90,"Y","Fail","AAA 2013J"
"88","AAA","2013J",227499,"F","London Region","A Level or Equivalent","10-20","35-55",0,60,"N","Distinction","AAA 2013J"
"89","AAA","2013J",227517,"M","Ireland","HE Qualification","?","0-35",0,180,"N","Fail","AAA 2013J"
"90","AAA","2013J",228082,"M","London Region","HE Qualification","60-70%","0-35",0,60,"N","Pass","AAA 2013J"
"91","AAA","2013J",228222,"M","East Midlands Region","Lower Than A Level","50-60%","0-35",0,60,"N","Pass","AAA 2013J"
"92","AAA","2013J",229179,"M","West Midlands Region","A Level or Equivalent","20-30%","0-35",0,60,"N","Pass","AAA 2013J"
"93","AAA","2013J",229361,"M","East Midlands Region","A Level or Equivalent","50-60%","0-35",0,60,"N","Pass","AAA 2013J"
"94","AAA","2013J",231554,"M","London Region","A Level or Equivalent","40-50%","0-35",0,240,"N","Pass","AAA 2013J"
"95","AAA","2013J",235507,"M","Yorkshire Region","A Level or Equivalent","90-100%","0-35",0,240,"N","Withdrawn","AAA 2013J"
"96","AAA","2013J",236284,"M","Scotland","Post Graduate Qualification","90-100%","0-35",0,60,"N","Pass","AAA 2013J"
"97","AAA","2013J",238007,"M","South Region","HE Qualification","90-100%","55<=",0,60,"N","Pass","AAA 2013J"
"98","AAA","2013J",240712,"M","London Region","HE Qualification","80-90%","0-35",0,80,"N","Pass","AAA 2013J"
"99","AAA","2013J",240884,"M","South Region","A Level or Equivalent","90-100%","0-35",0,120,"N","Pass","AAA 2013J"
"100","AAA","2013J",241649,"M","East Anglian Region","HE Qualification","90-100%","35-55",0,60,"N","Pass","AAA 2013J"
"101","AAA","2013J",241729,"F","East Midlands Region","HE Qualification","60-70%","35-55",0,60,"N","Fail","AAA 2013J"
"102","AAA","2013J",242793,"M","London Region","HE Qualification","20-30%","35-55",0,60,"N","Pass","AAA 2013J"
"103","AAA","2013J",246834,"M","South West Region","A Level or Equivalent","90-100%","35-55",0,60,"N","Pass","AAA 2013J"
"104","AAA","2013J",248270,"M","North Western Region","Lower Than A Level","20-30%","0-35",0,90,"N","Pass","AAA 2013J"
"105","AAA","2013J",255548,"M","Wales","Lower Than A Level","20-30%","35-55",0,60,"N","Pass","AAA 2013J"
"106","AAA","2013J",256815,"M","North Western Region","HE Qualification","10-20","0-35",0,120,"N","Pass","AAA 2013J"
"107","AAA","2013J",258392,"F","West Midlands Region","Lower Than A Level","30-40%","0-35",0,60,"N","Pass","AAA 2013J"
"108","AAA","2013J",258894,"F","East Anglian Region","Lower Than A Level","70-80%","35-55",0,60,"N","Pass","AAA 2013J"
"109","AAA","2013J",260355,"F","London Region","A Level or Equivalent","80-90%","35-55",0,60,"N","Withdrawn","AAA 2013J"
"110","AAA","2013J",262011,"M","East Midlands Region","A Level or Equivalent","20-30%","35-55",0,60,"N","Pass","AAA 2013J"
"111","AAA","2013J",262934,"F","North Western Region","A Level or Equivalent","30-40%","35-55",0,60,"N","Pass","AAA 2013J"
"112","AAA","2013J",268073,"M","East Anglian Region","A Level or Equivalent","10-20","35-55",0,90,"N","Fail","AAA 2013J"
"113","AAA","2013J",268733,"M","East Anglian Region","A Level or Equivalent","30-40%","0-35",0,180,"N","Withdrawn","AAA 2013J"
"114","AAA","2013J",271251,"M","Scotland","A Level or Equivalent","80-90%","35-55",0,60,"N","Pass","AAA 2013J"
"115","AAA","2013J",277880,"F","South East Region","A Level or Equivalent","60-70%","0-35",0,60,"N","Withdrawn","AAA 2013J"
"116","AAA","2013J",279572,"M","London Region","Lower Than A Level","40-50%","0-35",0,60,"N","Distinction","AAA 2013J"
"117","AAA","2013J",281022,"F","Scotland","A Level or Equivalent","30-40%","0-35",0,150,"N","Pass","AAA 2013J"
"118","AAA","2013J",281250,"M","Wales","Lower Than A Level","70-80%","35-55",0,60,"N","Fail","AAA 2013J"
"119","AAA","2013J",281589,"M","North Western Region","HE Qualification","30-40%","0-35",0,60,"N","Fail","AAA 2013J"
"120","AAA","2013J",282821,"M","South West Region","A Level or Equivalent","30-40%","35-55",0,60,"N","Pass","AAA 2013J"
"121","AAA","2013J",286488,"M","South East Region","A Level or Equivalent","90-100%","35-55",0,60,"N","Pass","AAA 2013J"
"122","AAA","2013J",287548,"M","East Anglian Region","A Level or Equivalent","90-100%","0-35",0,120,"N","Pass","AAA 2013J"
"123","AAA","2013J",290201,"M","Wales","A Level or Equivalent","20-30%","0-35",0,60,"N","Pass","AAA 2013J"
"124","AAA","2013J",290757,"M","North Western Region","A Level or Equivalent","30-40%","0-35",0,60,"N","Pass","AAA 2013J"
"125","AAA","2013J",291334,"M","South East Region","A Level or Equivalent","90-100%","35-55",0,60,"N","Distinction","AAA 2013J"
"126","AAA","2013J",292923,"F","South East Region","A Level or Equivalent","90-100%","35-55",0,180,"N","Withdrawn","AAA 2013J"
"127","AAA","2013J",293699,"M","East Midlands Region","A Level or Equivalent","70-80%","0-35",0,120,"N","Pass","AAA 2013J"
"128","AAA","2013J",294570,"M","South East Region","HE Qualification","90-100%","55<=",0,60,"N","Pass","AAA 2013J"
"129","AAA","2013J",294594,"M","South East Region","A Level or Equivalent","90-100%","0-35",0,60,"N","Pass","AAA 2013J"
"130","AAA","2013J",295741,"M","South East Region","A Level or Equivalent","40-50%","35-55",0,240,"N","Fail","AAA 2013J"
"131","AAA","2013J",296332,"M","South Region","Post Graduate Qualification","90-100%","55<=",0,60,"N","Distinction","AAA 2013J"
"132","AAA","2013J",298696,"F","South East Region","HE Qualification","80-90%","0-35",0,60,"N","Pass","AAA 2013J"
"133","AAA","2013J",300398,"M","West Midlands Region","A Level or Equivalent","30-40%","35-55",0,60,"N","Pass","AAA 2013J"
"134","AAA","2013J",302302,"F","East Anglian Region","A Level or Equivalent","40-50%","0-35",0,60,"N","Fail","AAA 2013J"
"135","AAA","2013J",305152,"M","North Western Region","A Level or Equivalent","70-80%","0-35",0,60,"N","Fail","AAA 2013J"
"136","AAA","2013J",305386,"M","West Midlands Region","A Level or Equivalent","70-80%","0-35",0,120,"Y","Pass","AAA 2013J"
"137","AAA","2013J",305539,"F","Wales","Lower Than A Level","80-90%","0-35",0,120,"N","Withdrawn","AAA 2013J"
"138","AAA","2013J",306107,"M","West Midlands Region","A Level or Equivalent","50-60%","35-55",0,120,"N","Pass","AAA 2013J"
"139","AAA","2013J",306466,"M","East Anglian Region","A Level or Equivalent","90-100%","35-55",0,60,"N","Pass","AAA 2013J"
"140","AAA","2013J",306897,"F","London Region","A Level or Equivalent","10-20","0-35",0,60,"N","Pass","AAA 2013J"
"141","AAA","2013J",307061,"F","East Midlands Region","HE Qualification","10-20","0-35",0,60,"N","Pass","AAA 2013J"
"142","AAA","2013J",307866,"M","West Midlands Region","A Level or Equivalent","70-80%","0-35",0,60,"N","Pass","AAA 2013J"
"143","AAA","2013J",311917,"M","South West Region","A Level or Equivalent","60-70%","55<=",0,120,"N","Pass","AAA 2013J"
"144","AAA","2013J",312537,"M","South Region","Post Graduate Qualification","90-100%","55<=",0,60,"N","Distinction","AAA 2013J"
"145","AAA","2013J",312782,"M","South Region","A Level or Equivalent","90-100%","0-35",0,60,"N","Pass","AAA 2013J"
"146","AAA","2013J",318933,"F","East Anglian Region","HE Qualification","80-90%","0-35",0,120,"N","Pass","AAA 2013J"
"147","AAA","2013J",319047,"F","East Midlands Region","A Level or Equivalent","50-60%","0-35",0,60,"N","Pass","AAA 2013J"
"148","AAA","2013J",321942,"M","South Region","HE Qualification","90-100%","55<=",0,60,"N","Pass","AAA 2013J"
"149","AAA","2013J",324002,"M","East Anglian Region","HE Qualification","40-50%","35-55",0,60,"N","Pass","AAA 2013J"
"150","AAA","2013J",324084,"F","South West Region","A Level or Equivalent","10-20","35-55",0,60,"N","Pass","AAA 2013J"
"151","AAA","2013J",324282,"M","South East Region","A Level or Equivalent","90-100%","0-35",0,120,"N","Pass","AAA 2013J"
"152","AAA","2013J",331358,"F","South Region","HE Qualification","90-100%","35-55",0,60,"N","Withdrawn","AAA 2013J"
"153","AAA","2013J",332789,"F","East Anglian Region","A Level or Equivalent","60-70%","35-55",0,60,"N","Pass","AAA 2013J"
"154","AAA","2013J",333059,"M","Scotland","A Level or Equivalent","20-30%","0-35",0,120,"N","Pass","AAA 2013J"
"155","AAA","2013J",333323,"M","Scotland","HE Qualification","80-90%","0-35",0,60,"N","Pass","AAA 2013J"
"156","AAA","2013J",334259,"F","London Region","A Level or Equivalent","50-60%","0-35",0,150,"N","Fail","AAA 2013J"
"157","AAA","2013J",334333,"F","South West Region","A Level or Equivalent","0-10%","0-35",0,240,"Y","Withdrawn","AAA 2013J"
"158","AAA","2013J",335764,"F","South East Region","A Level or Equivalent","20-30%","0-35",0,60,"N","Withdrawn","AAA 2013J"
"159","AAA","2013J",336207,"M","East Anglian Region","A Level or Equivalent","90-100%","0-35",0,120,"N","Pass","AAA 2013J"
"160","AAA","2013J",339972,"M","North Region","A Level or Equivalent","80-90%","0-35",0,60,"N","Pass","AAA 2013J"
"161","AAA","2013J",341872,"M","East Anglian Region","Lower Than A Level","40-50%","0-35",0,180,"N","Fail","AAA 2013J"
"162","AAA","2013J",342007,"F","West Midlands Region","HE Qualification","70-80%","0-35",0,60,"N","Withdrawn","AAA 2013J"
"163","AAA","2013J",342514,"M","Scotland","Lower Than A Level","50-60%","55<=",0,60,"N","Pass","AAA 2013J"
"164","AAA","2013J",342972,"M","Yorkshire Region","HE Qualification","0-10%","0-35",0,60,"N","Pass","AAA 2013J"
"165","AAA","2013J",343446,"M","Ireland","HE Qualification","70-80%","35-55",0,120,"N","Pass","AAA 2013J"
"166","AAA","2013J",344282,"M","Yorkshire Region","A Level or Equivalent","10-20","0-35",0,60,"N","Fail","AAA 2013J"
"167","AAA","2013J",345068,"M","East Anglian Region","A Level or Equivalent","60-70%","0-35",0,180,"Y","Pass","AAA 2013J"
"168","AAA","2013J",345357,"M","Yorkshire Region","A Level or Equivalent","30-40%","0-35",0,60,"N","Distinction","AAA 2013J"
"169","AAA","2013J",346025,"M","East Anglian Region","A Level or Equivalent","50-60%","0-35",0,120,"N","Pass","AAA 2013J"
"170","AAA","2013J",346843,"F","Scotland","HE Qualification","50-60%","35-55",0,120,"N","Fail","AAA 2013J"
"171","AAA","2013J",350188,"M","North Western Region","HE Qualification","80-90%","35-55",0,60,"N","Pass","AAA 2013J"
"172","AAA","2013J",354858,"M","South Region","HE Qualification","90-100%","35-55",0,120,"N","Withdrawn","AAA 2013J"
"173","AAA","2013J",357668,"M","Yorkshire Region","A Level or Equivalent","10-20","0-35",0,60,"N","Fail","AAA 2013J"
"174","AAA","2013J",364177,"M","East Anglian Region","Lower Than A Level","70-80%","35-55",0,60,"N","Fail","AAA 2013J"
"175","AAA","2013J",365244,"F","London Region","A Level or Equivalent","0-10%","0-35",0,120,"N","Pass","AAA 2013J"
"176","AAA","2013J",365642,"M","East Anglian Region","Lower Than A Level","10-20","35-55",0,60,"N","Pass","AAA 2013J"
"177","AAA","2013J",366483,"M","South West Region","HE Qualification","40-50%","0-35",0,60,"N","Pass","AAA 2013J"
"178","AAA","2013J",368194,"F","South West Region","A Level or Equivalent","50-60%","0-35",0,120,"Y","Pass","AAA 2013J"
"179","AAA","2013J",368824,"M","Wales","HE Qualification","50-60%","35-55",0,120,"N","Fail","AAA 2013J"
"180","AAA","2013J",368963,"M","Yorkshire Region","Lower Than A Level","0-10%","0-35",0,180,"N","Pass","AAA 2013J"
"181","AAA","2013J",376439,"M","North Region","HE Qualification","?","0-35",0,60,"N","Distinction","AAA 2013J"
"182","AAA","2013J",376581,"F","South Region","A Level or Equivalent","80-90%","35-55",0,60,"N","Pass","AAA 2013J"
"183","AAA","2013J",380953,"M","East Midlands Region","A Level or Equivalent","80-90%","0-35",0,60,"N","Pass","AAA 2013J"
"184","AAA","2013J",383254,"M","Yorkshire Region","A Level or Equivalent","90-100%","0-35",0,120,"N","Pass","AAA 2013J"
"185","AAA","2013J",386924,"M","Ireland","Lower Than A Level","?","0-35",0,120,"N","Pass","AAA 2013J"
"186","AAA","2013J",386952,"M","Yorkshire Region","A Level or Equivalent","70-80%","0-35",0,120,"N","Pass","AAA 2013J"
"187","AAA","2013J",388722,"F","London Region","Lower Than A Level","80-90%","35-55",0,60,"N","Pass","AAA 2013J"
"188","AAA","2013J",388885,"M","South West Region","A Level or Equivalent","90-100%","35-55",0,60,"N","Pass","AAA 2013J"
"189","AAA","2013J",390890,"M","Scotland","A Level or Equivalent","0-10%","0-35",0,90,"N","Withdrawn","AAA 2013J"
"190","AAA","2013J",392756,"M","West Midlands Region","A Level or Equivalent","70-80%","0-35",0,120,"N","Fail","AAA 2013J"
"191","AAA","2013J",392931,"F","North Western Region","A Level or Equivalent","50-60%","35-55",0,120,"N","Pass","AAA 2013J"
"192","AAA","2013J",393207,"M","North Western Region","A Level or Equivalent","60-70%","0-35",0,60,"N","Pass","AAA 2013J"
"193","AAA","2013J",396872,"M","Yorkshire Region","HE Qualification","50-60%","0-35",0,180,"N","Pass","AAA 2013J"
"194","AAA","2013J",398552,"M","Yorkshire Region","Lower Than A Level","90-100%","0-35",0,240,"N","Fail","AAA 2013J"
"195","AAA","2013J",401869,"F","South East Region","Lower Than A Level","80-90%","0-35",0,60,"N","Pass","AAA 2013J"
"196","AAA","2013J",402470,"M","South West Region","Lower Than A Level","50-60%","35-55",0,60,"N","Pass","AAA 2013J"
"197","AAA","2013J",404804,"M","Wales","Lower Than A Level","20-30%","35-55",0,120,"N","Pass","AAA 2013J"
"198","AAA","2013J",405088,"M","North Region","A Level or Equivalent","20-30%","0-35",0,120,"N","Pass","AAA 2013J"
"199","AAA","2013J",405961,"M","Scotland","A Level or Equivalent","90-100%","0-35",0,240,"Y","Withdrawn","AAA 2013J"
"200","AAA","2013J",414117,"M","Yorkshire Region","A Level or Equivalent","50-60%","0-35",0,120,"N","Pass","AAA 2013J"
"201","AAA","2013J",415969,"M","West Midlands Region","HE Qualification","0-10%","35-55",0,90,"N","Withdrawn","AAA 2013J"
"202","AAA","2013J",420087,"M","Scotland","A Level or Equivalent","40-50%","0-35",0,60,"Y","Fail","AAA 2013J"
"203","AAA","2013J",429958,"F","North Western Region","A Level or Equivalent","70-80%","0-35",0,60,"N","Pass","AAA 2013J"
"204","AAA","2013J",441018,"F","South East Region","A Level or Equivalent","70-80%","0-35",0,150,"N","Pass","AAA 2013J"
"205","AAA","2013J",441888,"M","London Region","A Level or Equivalent","20-30%","0-35",0,120,"N","Pass","AAA 2013J"
"206","AAA","2013J",442442,"M","South West Region","HE Qualification","80-90%","0-35",0,120,"N","Withdrawn","AAA 2013J"
"207","AAA","2013J",444677,"M","London Region","HE Qualification","30-40%","0-35",0,60,"N","Distinction","AAA 2013J"
"208","AAA","2013J",470588,"M","South East Region","HE Qualification","90-100%","35-55",0,60,"N","Withdrawn","AAA 2013J"
"209","AAA","2013J",489455,"F","South West Region","A Level or Equivalent","20-30%","0-35",0,60,"N","Pass","AAA 2013J"
"210","AAA","2013J",494424,"F","North Region","A Level or Equivalent","80-90%","0-35",0,60,"N","Fail","AAA 2013J"
"211","AAA","2013J",495284,"M","South East Region","HE Qualification","80-90%","0-35",0,120,"N","Pass","AAA 2013J"
"212","AAA","2013J",498857,"M","North Western Region","HE Qualification","80-90%","35-55",0,60,"N","Pass","AAA 2013J"
"213","AAA","2013J",508818,"M","London Region","A Level or Equivalent","40-50%","0-35",0,120,"N","Pass","AAA 2013J"
"214","AAA","2013J",512460,"M","South East Region","HE Qualification","90-100%","0-35",0,120,"N","Pass","AAA 2013J"
"215","AAA","2013J",544103,"M","North Western Region","HE Qualification","40-50%","0-35",0,120,"N","Pass","AAA 2013J"
"216","AAA","2013J",550383,"M","South East Region","HE Qualification","60-70%","0-35",0,60,"N","Pass","AAA 2013J"
"217","AAA","2013J",564450,"M","West Midlands Region","HE Qualification","80-90%","0-35",0,120,"N","Fail","AAA 2013J"
"218","AAA","2013J",568601,"F","Scotland","HE Qualification","30-40%","0-35",0,60,"N","Withdrawn","AAA 2013J"
"219","AAA","2013J",572652,"M","West Midlands Region","HE Qualification","70-80%","0-35",0,120,"N","Pass","AAA 2013J"
"220","AAA","2013J",580389,"M","Ireland","HE Qualification","90-100%","0-35",0,120,"N","Pass","AAA 2013J"
"221","AAA","2013J",581129,"M","East Anglian Region","A Level or Equivalent","30-40%","0-35",0,120,"N","Fail","AAA 2013J"
"222","AAA","2013J",588775,"M","South West Region","A Level or Equivalent","90-100%","0-35",0,120,"N","Pass","AAA 2013J"
"223","AAA","2013J",591774,"M","South Region","Post Graduate Qualification","90-100%","35-55",0,60,"N","Pass","AAA 2013J"
"224","AAA","2013J",603861,"M","North Region","HE Qualification","?","55<=",0,60,"N","Withdrawn","AAA 2013J"
"225","AAA","2013J",606143,"M","Scotland","Post Graduate Qualification","90-100%","35-55",0,60,"N","Fail","AAA 2013J"
"226","AAA","2013J",704156,"M","South Region","HE Qualification","90-100%","55<=",0,120,"N","Pass","AAA 2013J"
