"","code_module","code_presentation","id_assessment","assessment_type","date","weight","module_presentation_length"
"147","FFF","2013J",34875,"TMA",96,25,268
"148","FFF","2013J",34876,"TMA",131,25,268
"149","FFF","2013J",34877,"TMA",173,25,268
"150","FFF","2013J",34885,"Exam",236,100,268
"151","FFF","2014B",34891,"CMA",227,0,241
"152","FFF","2014B",34892,"CMA",227,0,241
"153","FFF","2014B",34893,"CMA",227,0,241
"154","FFF","2014B",34894,"CMA",227,0,241
"155","FFF","2014B",34895,"CMA",227,0,241
"156","FFF","2014B",34897,"CMA",227,0,241
"157","FFF","2014B",34896,"CMA",227,0,241
"158","FFF","2014B",34886,"TMA",24,12.5,241
"159","FFF","2014B",34887,"TMA",52,12.5,241
"160","FFF","2014B",34888,"TMA",87,25,241
"161","FFF","2014B",34889,"TMA",129,25,241
"162","FFF","2014B",34890,"TMA",171,25,241
"163","FFF","2014B",34898,"Exam",227,100,241
"164","FFF","2014J",34904,"CMA",241,0,269
"165","FFF","2014J",34905,"CMA",241,0,269
"166","FFF","2014J",34906,"CMA",241,0,269
"167","FFF","2014J",34907,"CMA",241,0,269
"168","FFF","2014J",34908,"CMA",241,0,269
"169","FFF","2014J",34910,"CMA",241,0,269
"170","FFF","2014J",34909,"CMA",241,0,269
"171","FFF","2014J",34899,"TMA",24,12.5,269
"172","FFF","2014J",34900,"TMA",52,12.5,269
"173","FFF","2014J",34901,"TMA",94,25,269
"174","FFF","2014J",34902,"TMA",136,25,269
"175","FFF","2014J",34903,"TMA",199,25,269
"176","FFF","2014J",34911,"Exam",241,100,269
"177","GGG","2013J",37418,"CMA",229,0,261
"178","GGG","2013J",37419,"CMA",229,0,261
"179","GGG","2013J",37420,"CMA",229,0,261
"180","GGG","2013J",37421,"CMA",229,0,261
"181","GGG","2013J",37422,"CMA",229,0,261
"182","GGG","2013J",37423,"CMA",229,0,261
"183","GGG","2013J",37415,"TMA",61,0,261
"184","GGG","2013J",37416,"TMA",124,0,261
"185","GGG","2013J",37417,"TMA",173,0,261
"186","GGG","2013J",37424,"Exam",229,100,261
"187","GGG","2014B",37428,"CMA",222,0,241
"188","GGG","2014B",37429,"CMA",222,0,241
"189","GGG","2014B",37430,"CMA",222,0,241
"190","GGG","2014B",37431,"CMA",222,0,241
"191","GGG","2014B",37432,"CMA",222,0,241
"192","GGG","2014B",37433,"CMA",222,0,241
"193","GGG","2014B",37425,"TMA",61,0,241
"194","GGG","2014B",37426,"TMA",117,0,241
"195","GGG","2014B",37427,"TMA",166,0,241
"196","GGG","2014B",37434,"Exam",222,100,241
"197","GGG","2014J",37438,"CMA",229,0,269
"198","GGG","2014J",37439,"CMA",229,0,269
"199","GGG","2014J",37440,"CMA",229,0,269
"200","GGG","2014J",37441,"CMA",229,0,269
"201","GGG","2014J",37442,"CMA",229,0,269
"202","GGG","2014J",37443,"CMA",229,0,269
"203","GGG","2014J",37435,"TMA",61,0,269
"204","GGG","2014J",37436,"TMA",124,0,269
"205","GGG","2014J",37437,"TMA",173,0,269
"206","GGG","2014J",37444,"Exam",229,100,269
